key	lnum	page	text
a	1	58	avyayavargaH 4578 aBAva-puM,a-a,na-a,no-a,nahi-a prAdurAviH prakASe syAdaBAve tva na no nahi (1539) .
aMSa	2	54	sAmAnyakARqaH 4298 aMSa-puM,BAga-puM,vaRwa-puM aMSo BAgaSca vaRwaH syAtpAdastu sa turIyakaH .. 1434 ..
aMSu	3	7	devakARqaH 388 Aditya-puM,savitf-puM,aryaman-puM,KarAMSu-puM,sahasrAMSu-puM,uzRAMSu-puM,aMSu-puM,ravi-puM,mArtaRqa-puM,taraRi-puM,gaBasti-puM,aruRa-puM,BAnu-puM,naBomaRi-puM,aharmaRi-puM,sUrya-puM,arka-puM,kiraRa-puM,Baga-puM,grahapuza-puM,pUzan-puM,pataNga-puM,Kaga-puM,mArtARqa-puM,yamunAjanaka-puM,kftAntajanaka-puM,pradyotana-puM,tApana-puM,braDna-puM,haMsa-puM,citraBAnu-puM,vivasvat-puM,sUra-puM,tvazwf-puM,dvAdaSAtman-puM,heli-puM,mittra-puM,DvAntArAti-puM,abjahasta-puM,aMSuhasta-puM,cakrabAnDava-puM,abjabAnDava-puM,aharbAnDava-puM,saptasapti-puM,divAkara-puM,dinakara-puM,ahaskara-puM,divasakara-puM,praBAkara-puM,viBAkara-puM,BAskara-puM,mihira-puM,virocana-puM,grahapati-puM,abjinIpati-puM,gopati-puM,dyupati-puM,vikartana-puM,hari-puM,Suci-puM,ina-puM,gaganaDvaja-puM,gaganADvaga-puM,haridaSva-puM,jagatsAkzin-puM,karmasAkzin-puM,BAsvat-puM,viBAvasu-puM,trayItanu-puM,jagaccakzus-puM,tapana-puM,aruRasAraTi-puM AdityaH savitAryamA KarasahasrozRAMSuraMSU ravi- rmArtaRqastaraRirgaBastiraruRo BAnurnaBo'harmaRiH . sUryo'rkaH kiraRo Bago grahapuzaH pUzA pataNgaH Kago mArtARqo yamunAkftAntajanakaH pradyotanastApanaH .. 95 .. ;p{0008} braDno haMsaScitraBAnurvivasvAnsUrastvazwA dvAdaSAtmA ca heliH . mitro DvAntArAtirabjAMSuhastaScakrAbjAharbAnDavaH saptasaptiH .. 96 .. divAdinAhardivasapraBAviBABAsaH karaH syAnmihiro virocanaH . grahAbjinIgodyupatirvikartano hariH SucInO gaganAdDvajADvagO .. 97 .. haridaSvo jagatkarmasAkzI BAsvAnviBAvasuH . trayItanurjagaccakzustapano'ruRasAraTiH .. 98 ..
aMSu	4	8	devakARqaH 389 rocis-klI,usra-puM,ruci-strI,Socis-klI,aMSu-puM,go-puMstrI,jyotis-klI,arcis-strIklI,upaDfti-puM,aBISu-puM,pragraha-puM,Suci-puM,marIci-puMstrI,dIpti-strI,DAman-klI,ketu-puM,GfRi-puM,raSmi-puM,pfSni-puMstrI,pAda-puM,dIDiti-strI,kara-puM,dyuti-strI,dyut-klI,ruc-klI,viroka-puM,kiraRa-puM,tvizi-strI,tviz-strI,BAs-puMstrI,praBA-strI,vasu-puM,gaBasti-puM,BAnu-puM,BA-strI,mayUKa-puM,mahas-klI,Cavi-strI,viBA-strI rocirusraruciSociraMSugo jyotirarcirupaDftyaBISavaH . pragrahaH SucimarIcidIptayo DAmaketuGfRiraSmipfSnayaH .. 99 .. pAdadIDitikaradyutidyuto rugvirokakiraRatvizitvizaH . BAHpraBAvasugaBastiBAnavo BA mayUKamahasI CavirviBA .. 100 ..
aMSuka	5	28	martyakARqaH 2020 aMSuka-klI,vastra-puMklI,ambara-klI,sicaya-puM,vasana-klI,cIra-puM,AcCAda-puM,siYc-strI,cela-klI,vAsas-klI,pawa-tri,prota-puM nUpuraM tu tulAkowiH pAdataH kawakANgade .. 665 .. maYjIraM haMsakaM SiYjinyaMSukaM vastramambaram . sicayo vasanaM cIrAcCAdO sikcelavAsasI .. 666 .. pawaH prOto'Ycalo'syAnto vartirvastiSca taddaSAH (667) .
aMSuhasta	6	7	devakARqaH 388 Aditya-puM,savitf-puM,aryaman-puM,KarAMSu-puM,sahasrAMSu-puM,uzRAMSu-puM,aMSu-puM,ravi-puM,mArtaRqa-puM,taraRi-puM,gaBasti-puM,aruRa-puM,BAnu-puM,naBomaRi-puM,aharmaRi-puM,sUrya-puM,arka-puM,kiraRa-puM,Baga-puM,grahapuza-puM,pUzan-puM,pataNga-puM,Kaga-puM,mArtARqa-puM,yamunAjanaka-puM,kftAntajanaka-puM,pradyotana-puM,tApana-puM,braDna-puM,haMsa-puM,citraBAnu-puM,vivasvat-puM,sUra-puM,tvazwf-puM,dvAdaSAtman-puM,heli-puM,mittra-puM,DvAntArAti-puM,abjahasta-puM,aMSuhasta-puM,cakrabAnDava-puM,abjabAnDava-puM,aharbAnDava-puM,saptasapti-puM,divAkara-puM,dinakara-puM,ahaskara-puM,divasakara-puM,praBAkara-puM,viBAkara-puM,BAskara-puM,mihira-puM,virocana-puM,grahapati-puM,abjinIpati-puM,gopati-puM,dyupati-puM,vikartana-puM,hari-puM,Suci-puM,ina-puM,gaganaDvaja-puM,gaganADvaga-puM,haridaSva-puM,jagatsAkzin-puM,karmasAkzin-puM,BAsvat-puM,viBAvasu-puM,trayItanu-puM,jagaccakzus-puM,tapana-puM,aruRasAraTi-puM AdityaH savitAryamA KarasahasrozRAMSuraMSU ravi- rmArtaRqastaraRirgaBastiraruRo BAnurnaBo'harmaRiH . sUryo'rkaH kiraRo Bago grahapuzaH pUzA pataNgaH Kago mArtARqo yamunAkftAntajanakaH pradyotanastApanaH .. 95 .. ;p{0008} braDno haMsaScitraBAnurvivasvAnsUrastvazwA dvAdaSAtmA ca heliH . mitro DvAntArAtirabjAMSuhastaScakrAbjAharbAnDavaH saptasaptiH .. 96 .. divAdinAhardivasapraBAviBABAsaH karaH syAnmihiro virocanaH . grahAbjinIgodyupatirvikartano hariH SucInO gaganAdDvajADvagO .. 97 .. haridaSvo jagatkarmasAkzI BAsvAnviBAvasuH . trayItanurjagaccakzustapano'ruRasAraTiH .. 98 ..
aMsa	7	26	martyakARqaH 1807 aMsa-puMklI,BujaSiras-klI,skanDa-puM aMso BujaSiraH skanDo jatru saMDiruroM'sagaH .. 588 ..
aMsakUwa	8	48	tiryakkARqaH, paYcendriyAH, sTalacarapaYcendriyAH 3831 aMsakUwa-klI,kakuda-puMklI vahaH skanDoM'sakUwaM tu kakudaM nEcikaM SiraH (1264) .
aMsala	9	21	martyakARqaH 1382 aMsala-puM,balin-puM,nirdigDa-puM,mAMsala-puM,upacita-puM cakzuzyaH suBago dvezyo'kzigato'TAMsalo balI .. 448 .. nirdigDo mAMsalaScopacito'Ta durbalaH kfSaH . kzAmaH kzIRastanuSCAtastalinAmAMsapelavAH .. 449 ..
aMhati	10	19	martyakARqaH 1214 dAna-klI,utsarjana-klI,tyAga-puM,pradeSana-klI,visarjana-klI,vihAyita-klI,vitaraRa-klI,sparSana-klI,pratipAdana-klI,viSrARana-klI,nirvapaRa-klI,apavarjana-klI,aMhati-strI dAnamutsarjanaM tyAgaH pradeSanavisarjane . vihAyitaM vitaraRaM sparSanaM pratipAdanam .. 386 .. viSrARanaM nirvapaRamapavarjanamaMhatiH (387) .
aMhas	11	52	sAmAnyakARqaH 4124 aSuBa-klI,duzkfta-klI,durita-klI,pApa-klI,enas-klI,pApman-puM,pAtaka-puMklI,kilbiza-klI,kaluza-klI,kiRva-klI,kalmaza-klI,vfjina-klI,tamas-klI,aMhas-klI,kalka-klI,aGa-klI,paNka-puMklI alakzmIrnirftiH kAlakarRikA syAdaTASuBam . duzkftaM duritaM pApamenaH pApmA ca pAtakam .. 1380 .. kilbizaM kaluzaM kiRvaM kalmazaM vfjinaM tamaH . aMhaH kalkamaGaM paNka upADirDarmacintanam .. 1381 ..
aMhri	12	26	martyakARqaH 1884 caraRa-puMklI,kramaRa-puM,pAda-puM,pada-puMklI,aMhri-puM,calana-puM,krama-puM caraRaH kramaRaH pAdaH padoM'hriScalanaH kramaH (616) .
aMhrinAman	13	44	tiryakkARqaH, vanaspatikAyaH 3353 mUla-klI,buDna-puM,aMhrinAman-klI SironAmAgraM SiKaraM mUlaM buDnoMhri nAma ca (1121) .
aMhripa	14	44	tiryakkARqaH, vanaspatikAyaH 3333 vfkza-puM,aga-puM,SiKarin-puM,SAKin-puM,Palada-puM,adri-puM,haridru-puM,druma-puM,jIrRa-puM,dru-puM,viwapin-puM,kuWa-puM,kzitiruha-puM,kAraskara-puM,vizwara-puM,nandyAvarta-puM,karAlika-puM,taru-puM,vasu-puM,parRin-puM,pulAkin-puM,aMhripa-puM,sAla-puM,anokaha-puM,gacCa-puM,pAdapa-puM,naga-puM,rUkza-puM,agama-puM,puzpada-puM vfkzo'gaH SiKarI ca SAKiPaladAvadrirharidrurdrumo jIrRo drurviwapI kuWaH kzitiruhaH kAraskaro vizwaraH . nandyAvartakarAlikO taruvasU parRI pulAkyaMhripaH sAlAnokahagacCapAdapanagA rUkzAgamO puzpadaH .. 1114 ..
aMhriskanDa	15	26	martyakARqaH 1890 aMhriskanDa-puM,kUrcaSiras-klI kUrcaM kziprasyoparyaMhriskanDaH kUrcaSiraH same .. 617 ..
akampita	16	5	devADidevakARqaH 43 akampita-puM gaRA navAsyarzisaMGA ekAdaSa gaRADipAH . indraBUtiragniBUtirvAyuBUtiSca gotamAH .. 31 .. vyaktaH suDarmA maRqitamOryaputrAvakampitaH . acalaBrAtA metAryaH praBAsaSca pfTakkulAH .. 32 ..
akarkaSa	17	53	sAmAnyakARqaH 4142 komala-puM,mfdula-puM,mfdu-puM,somAla-puM,sukumAra-puM,akarkaSa-puM nizWuraH kakKawaH krUraH paruzaH karkaSaH KaraH .. 1386 .. dfQaH kaWoraH kaWino jaraWaH komalaH punaH . mfdulo mfdusomAlasukumArA akarkaSaH .. 1387 ..
akarRa	18	21	martyakARqaH 1398 akarRa-puM,eqa-puM,baDira-puM akarRa eqo baDiro duScarmA tu dvinagnakaH .. 454 .. vaRqaSca SipivizwaSca KoqaKorO tu KaYjake (455) .
akalkana	19	22	martyakARqaH 1515 vItadamBa-puM,akalkana-puM vEraNgiko virAgArho vItadamBastvakalkanaH .. 490 ..
akasmAt	20	57	avyayavargaH 4554 sahasA-a,ekapade-a,sadyas-a,akasmAt-a,sapadi-a,tatkzaRa-klI sahasEkapade sadyo'kasmAtsapadi tatkzaRe (1532) .
