key	lnum	page	text
svar	1	0001	svar; svaH svargaH surasadma tridaSAvAsastrivizwapaM tridivam . dyOrgOramartyaBuvanaM nAkaH syAdUrDvalokaSca .. 3 .. 1.1.1.3
svarga	2	0001	svarga; svaH svargaH surasadma tridaSAvAsastrivizwapaM tridivam . dyOrgOramartyaBuvanaM nAkaH syAdUrDvalokaSca .. 3 .. 1.1.1.3
surasadman	3	0001	surasadman; svaH svargaH surasadma tridaSAvAsastrivizwapaM tridivam . dyOrgOramartyaBuvanaM nAkaH syAdUrDvalokaSca .. 3 .. 1.1.1.3
tridaSAvAsa	4	0001	tridaSAvAsa; svaH svargaH surasadma tridaSAvAsastrivizwapaM tridivam . dyOrgOramartyaBuvanaM nAkaH syAdUrDvalokaSca .. 3 .. 1.1.1.3
trivizwapa	5	0001	trivizwapa; svaH svargaH surasadma tridaSAvAsastrivizwapaM tridivam . dyOrgOramartyaBuvanaM nAkaH syAdUrDvalokaSca .. 3 .. 1.1.1.3
tridiva	6	0001	tridiva; svaH svargaH surasadma tridaSAvAsastrivizwapaM tridivam . dyOrgOramartyaBuvanaM nAkaH syAdUrDvalokaSca .. 3 .. 1.1.1.3
dyo	7	0001	dyo; svaH svargaH surasadma tridaSAvAsastrivizwapaM tridivam . dyOrgOramartyaBuvanaM nAkaH syAdUrDvalokaSca .. 3 .. 1.1.1.3
go	8	0001	go; svaH svargaH surasadma tridaSAvAsastrivizwapaM tridivam . dyOrgOramartyaBuvanaM nAkaH syAdUrDvalokaSca .. 3 .. 1.1.1.3
amartyaBuvana	9	0001	amartyaBuvana; svaH svargaH surasadma tridaSAvAsastrivizwapaM tridivam . dyOrgOramartyaBuvanaM nAkaH syAdUrDvalokaSca .. 3 .. 1.1.1.3
nAka	10	0001	nAka; svaH svargaH surasadma tridaSAvAsastrivizwapaM tridivam . dyOrgOramartyaBuvanaM nAkaH syAdUrDvalokaSca .. 3 .. 1.1.1.3
UrDvaloka	11	0001	UrDvaloka; svaH svargaH surasadma tridaSAvAsastrivizwapaM tridivam . dyOrgOramartyaBuvanaM nAkaH syAdUrDvalokaSca .. 3 .. 1.1.1.3
Aditya	12	0001	Aditya; AdityAstridaSAH surAH sumanasaH svargOkaso devatA, gIrvARA fBavo'marASca maruto vfndArakA nirjarAH . asvapnA vibuDAstrivizwapasado leKAH suparvARa i-, tyAKyAtA amftASanA animizA devAstaTA dEvatam .. 4 .. 1.1.1.4
tridaSa	13	0001	tridaSa; AdityAstridaSAH surAH sumanasaH svargOkaso devatA, gIrvARA fBavo'marASca maruto vfndArakA nirjarAH . asvapnA vibuDAstrivizwapasado leKAH suparvARa i-, tyAKyAtA amftASanA animizA devAstaTA dEvatam .. 4 .. 1.1.1.4
sura	14	0001	sura; AdityAstridaSAH surAH sumanasaH svargOkaso devatA, gIrvARA fBavo'marASca maruto vfndArakA nirjarAH . asvapnA vibuDAstrivizwapasado leKAH suparvARa i-, tyAKyAtA amftASanA animizA devAstaTA dEvatam .. 4 .. 1.1.1.4
sumanas	15	0001	sumanas; AdityAstridaSAH surAH sumanasaH svargOkaso devatA, gIrvARA fBavo'marASca maruto vfndArakA nirjarAH . asvapnA vibuDAstrivizwapasado leKAH suparvARa i-, tyAKyAtA amftASanA animizA devAstaTA dEvatam .. 4 .. 1.1.1.4
svargOkas	16	0001	svargOkas; AdityAstridaSAH surAH sumanasaH svargOkaso devatA, gIrvARA fBavo'marASca maruto vfndArakA nirjarAH . asvapnA vibuDAstrivizwapasado leKAH suparvARa i-, tyAKyAtA amftASanA animizA devAstaTA dEvatam .. 4 .. 1.1.1.4
devatA	17	0001	devatA; AdityAstridaSAH surAH sumanasaH svargOkaso devatA, gIrvARA fBavo'marASca maruto vfndArakA nirjarAH . asvapnA vibuDAstrivizwapasado leKAH suparvARa i-, tyAKyAtA amftASanA animizA devAstaTA dEvatam .. 4 .. 1.1.1.4
gIrvARa	18	0001	gIrvARa; AdityAstridaSAH surAH sumanasaH svargOkaso devatA, gIrvARA fBavo'marASca maruto vfndArakA nirjarAH . asvapnA vibuDAstrivizwapasado leKAH suparvARa i-, tyAKyAtA amftASanA animizA devAstaTA dEvatam .. 4 .. 1.1.1.4
fBu	19	0001	fBu; AdityAstridaSAH surAH sumanasaH svargOkaso devatA, gIrvARA fBavo'marASca maruto vfndArakA nirjarAH . asvapnA vibuDAstrivizwapasado leKAH suparvARa i-, tyAKyAtA amftASanA animizA devAstaTA dEvatam .. 4 .. 1.1.1.4
amara	20	0001	amara; AdityAstridaSAH surAH sumanasaH svargOkaso devatA, gIrvARA fBavo'marASca maruto vfndArakA nirjarAH . asvapnA vibuDAstrivizwapasado leKAH suparvARa i-, tyAKyAtA amftASanA animizA devAstaTA dEvatam .. 4 .. 1.1.1.4
marut	21	0001	marut; AdityAstridaSAH surAH sumanasaH svargOkaso devatA, gIrvARA fBavo'marASca maruto vfndArakA nirjarAH . asvapnA vibuDAstrivizwapasado leKAH suparvARa i-, tyAKyAtA amftASanA animizA devAstaTA dEvatam .. 4 .. 1.1.1.4
vfndAraka	22	0001	vfndAraka; AdityAstridaSAH surAH sumanasaH svargOkaso devatA, gIrvARA fBavo'marASca maruto vfndArakA nirjarAH . asvapnA vibuDAstrivizwapasado leKAH suparvARa i-, tyAKyAtA amftASanA animizA devAstaTA dEvatam .. 4 .. 1.1.1.4
