key	key_stem	linga	vyutpatti	nirvacana	base	chain	pratyaya	qualifier	unadi_ref	sutra_quoted	lnum	page	unadi_ref_project	unadi_match
a	a										1	1-001-a		
a	a										2	1-001-a		
aH	a	puM	atati sarvvaM vyApnoti iti ataterqaH	atati sarvvaM vyApnoti iti ataterqaH							3	1-001-a		
afRI	afRI										4	1-001-b		
aMSa	aMSa										5	1-001-b		
aMSaH	aMSa	puM	aMSa viBAjane, adantacurAdiH . karmmaRi GaY .	aMSa viBAjane, adantacurAdiH . karmmaRi GaY .							6	1-001-b		
aMSakaM	aMSaka										7	1-001-b		
aMSakaH	aMSaka	puM	avaSyamaMSaM harati iti aMSaM hArIti kan .	avaSyamaMSaM harati iti aMSaM hArIti kan .							8	1-001-b		
aMSaBAk	aMSaBAk										9	1-001-b		
aMSalaH	aMSala	tri	aMSaH praSastaskanDaH asti asya iti aMSa + lac .		aMSaH praSastaskanDaH asti asya iti aMSa	aMSaH praSastaskanDaH asti asya iti aMSa + lac	lac				10	1-001-c		
aMSI	aMSI										11	1-001-c		
aMSuH	aMSu	puM	aMSayati iti aMSa viBAjane . mfga- zvAditvAt kuH .	aMSayati iti aMSa viBAjane . mfga- zvAditvAt kuH .							12	1-001-c		
aMSukaM	aMSuka	klI	aMSUn kAyati . kE Sabde . AtEti kaH . yadvA aMSuBiH kASate . kASa dIptO . anyezvapIti qaH .	aMSUn kAyati . kE Sabde . AtEti kaH . yadvA aMSuBiH kASate . kASa dIptO . anyezvapIti qaH .							13	1-001-c		
aMSuDaraH	aMSuDara	puM	aMSUnAM DaraH . Darati iti DaraH .. pacAdyac .	aMSUnAM DaraH . Darati iti DaraH .. pacAdyac .							14	1-001-c		
aMSumatPalA	aMSumatPalA	strI	aMSumanti sUkzmIvayavavanti PalA- ni asyAH . aMSumAniva PalAni asyAH iti vA . ajAditvAt wAp .	aMSumanti sUkzmIvayavavanti PalA- ni asyAH . aMSumAniva PalAni asyAH iti vA . ajAditvAt wAp .							15	1-001-c		
aMSumatI	aMSumatI										16	1-001-c		
aMSumAn	aMSumAn										17	1-001-c		
aMSumAlI	aMSumAlI	[n] puM	aMSUnAM mAlA asti asya iti . vrIhyAditvAt iniH .	aMSUnAM mAlA asti asya iti . vrIhyAditvAt iniH .							18	1-002-a		
aMSulaH	aMSula	puM	aMSuH vidyAjyotiH asti asya . iti . aMSu + lac .	aMSuH vidyAjyotiH asti asya . iti	aMSu	aMSu + lac	lac				19	1-002-a		
aMSuhastaH	aMSuhasta	puM	aMSureva hastaH yasya saH .	aMSureva hastaH yasya saH .							20	1-002-a		
aMsa	aMsa										21	1-002-a		
aMsaH	aMsa										22	1-002-a		
aMsakUwaH	aMsakUwa										23	1-002-a		
aMsalaH	aMsala	tri	aMso'gyAstIti . vatsAMsAByAM kAma- bale iti lac .	aMso'gyAstIti . vatsAMsAByAM kAma- bale iti lac .							24	1-002-a		
aMhaH	aMha	[s] klI	amati gacCati prAyaSci- ttAdinA . ama gatyAdizu . ameH huk ca iti asun hugAgamaSca . amati gacCati aGo'nena vA . aherasunA sidDe aGerasuni aNGa iti mA BUditi ameH huk ceti sUtraM . taTA ca — “ syAnmaDyozmacaturTatvamaMhasoraMhasastaTA ” . iti dvirUpakozaH . evaYca ‘ dattArDAH sidDasaNGE- rvidaDatu GfRayaH SAGramaNGoviGAtam ’ iti sUryya- Satake pAWaH anuprAsarasikAnAM prAmAdika iti vadnti .	amati gacCati prAyaSci- ttAdinA . ama gatyAdizu . ameH huk ca iti asun hugAgamaSca . amati gacCati aGo'nena vA . aherasunA sidDe aGerasuni aNGa iti mA BUditi ameH huk ceti sUtraM . taTA ca — “ syAnmaDyozmacaturTatvamaMhasoraMhasastaTA ” . iti dvirUpakozaH . evaYca ‘ dattArDAH sidDasaNGE- rvidaDatu GfRayaH SAGramaNGoviGAtam ’ iti sUryya- Satake pAWaH anuprAsarasikAnAM prAmAdika iti vadnti .						syAnmaDyozmacaturTatvamaMhasoraMhasastaTA	25	1-002-a		
