key	linga	base	pratyaya	head_segment	lnum	page
a				a pu0 avati rakzati atati sAtatyena tizWatIti vA ava — ata — vA qa . vizRO “ akAro vizRuruddizwa ukArastu maheSvaraH . makArastu smftobrahmA praRavastu trayAtmaka ” iti . asya (vizRoH) apatyam ata iY 	1	0035,a
a	avya0	ava	prIRanAdO qa svarAdipAWAdavyayatvam	a avya0 ava — prIRanAdO qa svarAdipAWAdavyayatvam . aBAve, pratizeDe svalpe'rTe anukampAyAM, samboDane, a ananta! . aDikzepe, a pacasi tvaM jAlma! . “ upasargasvaraviBakti- pratirUpakASceti ” svarAdig	2	0035,a
afRin				afRin tri0 na fRI naY ta0 fkArasyAtra haltvA- ByupagamAt na nuw nalopamAtram . fRiBinne, fRaSUnye, . divasasyAzwame BAge SAkaM pacati yo naraH . afRI cApravAsI ca sa vAricara! modate iti BAratam haltv	3	0035,b
aMSa				aMSa viBAjane ada0 cu0 uBa0 . aMSayati te AMSiSat ta . aNkApayatItivat Apuki aMSApayatItyeke . ac aMSaH u — aMSuH Rini aMSI kta aMSitaH .	4	0035,b
aMSa	pu0	aMSa	BAve'c	aMSa pu0 aMSa — BAve'c . viBAge “ sakfdaMSo nipatati sakft- kanyA pradIyate . sakfdAha dadAnIti trIRyetAni sakft sakfditi smftiH . karmmaRi ac . viBAjye “ dvAvaMSO pratipadyeta viBajannAtmanaH piteti 	5	0035,b
aMSaka	tri0	aMSa	Rvul	aMSaka tri0 aMSa — Rvul . viBAjake . striyAm aMSikA . jYAtO dAyAde pu0 aMSa + svArTe kan . aMSaSabdArTe “ triMSAMSakastaTA rASe rBAga ” ityaBiDIyate iti jyotizam navamite rASitriMSaBAgAtmake navAMSe, 	6	0036,a
aMSala				aMSala tri0 aMSa + balopADike matvarTe lac . balavati . aMSaM lAti lA + ka . aMSagrAhake tri0 .	7	0036,a
aMSasavarRRana				aMSasavarRRana na0 samAnovarRRaH yogaviyogayogyatA savarRRaH tataH karaRArTe Rici BAve lyuw savarRanam aMSayoH atulya- cCedayoH rASyoH samacCedakaraRam 6 ta0 . lIlAvatyukte atulyacCedarASyoH yogaviyog	8	0036,a
aMSahara	tri0	aMSaM harati hf	ac	aMSahara tri0 aMSaM harati hf — ac . aMSahArake “ dvyaMSaharo- 'rdDaharo vA putravittArjjanAt piteti ” smftiH . anudyamane eva hfYo'c iti niyamAt anyatra aR . BArahAraH .	9	0036,a
aMSAvataraRa				aMSAvataraRa na0 6 ta0 . BArate A0 pa0 64 a0 ukte devAnAM svasvaBAgaviSezeRa vAsudevAdirUpeRa pfTivyAmA- virBAvena naradehagrahaRarUpe avataraRe .	10	0036,a
aMSin	tri0	aMSa	Rini	aMSin tri0 aMSa — Rini . aMSakArake “ punarviBAgakaraRe sarvve vA syuH samAMSina ” iti smftiH aMSa + matvarTe ini . avayavini . “ aMSinaH svAMSagAtyantABAvaM prati mfzAtmateti ” vedAntapariBAzA .	11	0036,a
aMSu	pu0	aMSa	mfga0 ku	aMSu pu0 aMSa — mfga0 ku . kiraRe sUtre sUkzmAMSe prakASe praBAyAM vege ca “ aMSavo'tra patitA raveH kimu ” ? ityudBawaH “ sUryyAMSuBirBinnamivAravindamiti ” kumA0 . tatra svapara- prakASakasya tejaHp	12	0036,a
